ending,endingstem,penSyl,person,number,tense,mood,suff1,suff2,stemC1,stemC2,stemC3
ar,ANY,ANY,1,0,0,0,o,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,0,0,as,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,0,0,a,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,0,0,amos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,0,0,áis,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,0,0,an,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,0,0,co,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,0,0,cas,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,0,0,ca,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,0,0,camos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,0,0,cáis,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,0,0,can,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,0,0,go,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,0,0,gas,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,0,0,ga,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,0,0,gamos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,0,0,gáis,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,0,0,gan,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,0,0,guo,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,0,0,guas,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,0,0,gua,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,0,0,guamos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,0,0,guáis,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,0,0,guan,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,0,0,zo,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,0,0,zas,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,0,0,za,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,0,0,zamos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,0,0,záis,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,0,0,zan,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,0,0,io,ío,ANY,ANY,ANY
ar,i,ANY,2,0,0,0,ias,ías,ANY,ANY,ANY
ar,i,ANY,3,0,0,0,ia,ía,ANY,ANY,ANY
ar,i,ANY,1,1,0,0,iamos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,0,0,iáis,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,0,0,ian,ían,ANY,ANY,ANY
ar,u,ANY,1,0,0,0,uo,úo,ANY,ANY,ANY
ar,u,ANY,2,0,0,0,uas,úas,ANY,ANY,ANY
ar,u,ANY,3,0,0,0,ua,úa,ANY,ANY,ANY
ar,u,ANY,1,1,0,0,uamos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,0,0,uáis,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,0,0,uan,úan,ANY,ANY,ANY
ar,ANY,ai,1,0,0,0,o,ANY,ai,aí,ANY
ar,ANY,ai,2,0,0,0,as,ANY,ai,aí,ANY
ar,ANY,ai,3,0,0,0,a,ANY,ai,aí,ANY
ar,ANY,ai,1,1,0,0,amos,ANY,ai,ANY,ANY
ar,ANY,ai,2,1,0,0,áis,ANY,ai,ANY,ANY
ar,ANY,ai,3,1,0,0,an,ANY,ai,aí,ANY
ar,ANY,au,1,0,0,0,o,ANY,au,aú,ANY
ar,ANY,au,2,0,0,0,as,ANY,au,aú,ANY
ar,ANY,au,3,0,0,0,a,ANY,au,aú,ANY
ar,ANY,au,1,1,0,0,amos,ANY,au,ANY,ANY
ar,ANY,au,2,1,0,0,áis,ANY,au,ANY,ANY
ar,ANY,au,3,1,0,0,an,ANY,au,aú,ANY
ar,ANY,ei,1,0,0,0,o,ANY,ei,eí,ANY
ar,ANY,ei,2,0,0,0,as,ANY,ei,eí,ANY
ar,ANY,ei,3,0,0,0,a,ANY,ei,eí,ANY
ar,ANY,ei,1,1,0,0,amos,ANY,ei,ANY,ANY
ar,ANY,ei,2,1,0,0,áis,ANY,ei,ANY,ANY
ar,ANY,ei,3,1,0,0,an,ANY,ei,eí,ANY
ar,ANY,eu,1,0,0,0,o,ANY,eu,eú,ANY
ar,ANY,eu,2,0,0,0,as,ANY,eu,eú,ANY
ar,ANY,eu,3,0,0,0,a,ANY,eu,eú,ANY
ar,ANY,eu,1,1,0,0,amos,ANY,eu,ANY,ANY
ar,ANY,eu,2,1,0,0,áis,ANY,eu,ANY,ANY
ar,ANY,eu,3,1,0,0,an,ANY,eu,eú,ANY
ar,ANY,ANY,1,0,1,0,aba,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,1,0,abas,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,1,0,aba,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,1,0,ábamos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,1,0,abais,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,1,0,aban,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,1,0,caba,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,1,0,cabas,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,1,0,caba,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,1,0,cábamos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,1,0,cabais,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,1,0,caban,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,1,0,gaba,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,1,0,gabas,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,1,0,gaba,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,1,0,gábamos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,1,0,gabais,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,1,0,gaban,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,1,0,guaba,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,1,0,guabas,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,1,0,guaba,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,1,0,guábamos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,1,0,guabais,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,1,0,guaban,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,1,0,zaba,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,1,0,zabas,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,1,0,zaba,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,1,0,zábamos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,1,0,zabais,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,1,0,zaban,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,1,0,iaba,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,1,0,iabas,ANY,ANY,ANY,ANY
ar,i,ANY,3,0,1,0,iaba,ANY,ANY,ANY,ANY
ar,i,ANY,1,1,1,0,iábamos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,1,0,iabais,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,1,0,iaban,ANY,ANY,ANY,ANY
ar,u,ANY,1,0,1,0,uaba,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,1,0,uabas,ANY,ANY,ANY,ANY
ar,u,ANY,3,0,1,0,uaba,ANY,ANY,ANY,ANY
ar,u,ANY,1,1,1,0,uábamos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,1,0,uabais,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,1,0,uaban,ANY,ANY,ANY,ANY
ar,ANY,ai,1,0,1,0,aba,ANY,ai,ANY,ANY
ar,ANY,ai,2,0,1,0,abas,ANY,ai,ANY,ANY
ar,ANY,ai,3,0,1,0,aba,ANY,ai,ANY,ANY
ar,ANY,ai,1,1,1,0,ábamos,ANY,ai,ANY,ANY
ar,ANY,ai,2,1,1,0,abais,ANY,ai,ANY,ANY
ar,ANY,ai,3,1,1,0,aban,ANY,ai,ANY,ANY
ar,ANY,au,1,0,1,0,aba,ANY,au,ANY,ANY
ar,ANY,au,2,0,1,0,abas,ANY,au,ANY,ANY
ar,ANY,au,3,0,1,0,aba,ANY,au,ANY,ANY
ar,ANY,au,1,1,1,0,ábamos,ANY,au,ANY,ANY
ar,ANY,au,2,1,1,0,abais,ANY,au,ANY,ANY
ar,ANY,au,3,1,1,0,aban,ANY,au,ANY,ANY
ar,ANY,ei,1,0,1,0,aba,ANY,ei,ANY,ANY
ar,ANY,ei,2,0,1,0,abas,ANY,ei,ANY,ANY
ar,ANY,ei,3,0,1,0,aba,ANY,ei,ANY,ANY
ar,ANY,ei,1,1,1,0,ábamos,ANY,ei,ANY,ANY
ar,ANY,ei,2,1,1,0,abais,ANY,ei,ANY,ANY
ar,ANY,ei,3,1,1,0,aban,ANY,ei,ANY,ANY
ar,ANY,eu,1,0,1,0,aba,ANY,eu,ANY,ANY
ar,ANY,eu,2,0,1,0,abas,ANY,eu,ANY,ANY
ar,ANY,eu,3,0,1,0,aba,ANY,eu,ANY,ANY
ar,ANY,eu,1,1,1,0,ábamos,ANY,eu,ANY,ANY
ar,ANY,eu,2,1,1,0,abais,ANY,eu,ANY,ANY
ar,ANY,eu,3,1,1,0,aban,ANY,eu,ANY,ANY
ar,ANY,ANY,1,0,3,0,é,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,3,0,aste,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,3,0,ó,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,3,0,amos,ANY,ANY,ANY,ANY
